resource,type
"<a href=""https://web.archive.org/web/20150305055718/http://isb.idaho.gov/member_services/first50/toc.html"">First Fifty Women in Idaho Law</a>",Web Resources
"<a href=""http://wlh.law.stanford.edu/"">Women's Legal History</a>",Web Resources
"<a href=""https://web.archive.org/web/20160410223550/https://history.idaho.gov/sites/default/files/uploads/inmates_women_1864-1947.pdf"">Idaho Penitentiary Inmates 1864-1947 Catalog: Women</a>",Web Resources
"<a href=""https://web.archive.org/web/20140420095702/http://historypresswest.org/2013/02/14/women-to-match-the-idaho-frontier/"">Ladies First: Women to Match the Idaho Frontier</a>",Web Resources
"<a href=""https://web.archive.org/web/20150217144649/http://idaho-humanrights.org/education/history-of-human-rights-in-idaho/women/"">Idaho Human Rights Educational Center: Women</a>",Web Resources
"<a href=""https://web.archive.org/web/20150917010347/https://www.visitidaho.org/press/about/famous_idahoans.htm"">Visit Idaho: Famous Idahoans</a>",Web Resources
"<a href=""https://web.archive.org/web/20160505043103/http://www.idgenweb.org/resource_library/women_of_the_west/index.html"">IDGENWEB Project: Women of the West: Idaho</a>",Web Resources
"<a href=""https://idhalloffame.weebly.com/"">Idaho's Hall of Fame</a>",Web Resources
"<a href=""https://idahoathletichalloffame.org/"">Idaho Athletic Hall of Fame</a>",Web Resources
"Adams, S. E. (1996). They remember when: Examples of female childhood in southeastern Idaho during the early nineteen hundreds.",Books
"Agosta, V., &amp; Axelrod, D. (2010). Spymom. New York: Guideposts.",Books
Altrusa Club of Boise. Biographies of Idaho Women. 1979.,Books
"Armer, G. R. M. (2009). Mary Baker Eddy's contribution to adult education: An historical biography.",Books
"Barger, S. G., &amp; Idaho State University. (2003). Biographies from women of southeastern Idaho. Pocatello, Idaho: Women's Studies Program, Idaho State University.",Books
"Barger, S. G., &amp; Idaho State University. (2007). Biographies from women of southeastern Idaho: Volume II. Pocatello, Idaho: Women's Studies Program, Idaho State University.",Books
"Barnes, K. (1997). In the wilderness: Coming of age in unknown country. New York: Anchor Books.",Books
"Barnes, K. (2000). Hungry for the world: A memoir. New York: Anchor Books.",Books
"Binheim, Max. Women of the West. 1928.",Books
"Bragg, Lynn. More than Petticoats: Remarkable Idaho Women. 2001.",Books
"Bush, Corlann G. Women in Northern Idaho: explorations in the rural feminist experience. 1974.",Books
"Bussard, J. E. (1996). Skinny Scotty: The adventurous life of Rosa Ellen Scott. Grass Valley, CA: J&amp;J Books.",Books
"Clay, M. (1994). Four queens of the West: A family history. Salt Lake City: M. Clay.",Books
"Corbett, C. (2010). The poker bride: The first Chinese in the Wild West. New York, NY: Atlantic Monthly Press.",Books
"Coulter, A. H. (1999). Hidden lives and unhistoric acts. Boise, Idaho: West Shore Press.",Books
"Cox, Cheryl A &amp; Lexie Ann French. Second Stories: historical narratives of Idaho Falls women. 1986.",Books
"D'Easum, D. (1981). Dowager of discipline: The life of Dean of Women Permeal French. Moscow: University Press of Idaho.",Books
"Elsensohn, M. A. (1979). Idaho County's most romantic character, Polly Bemis. Cottonwood, Idaho: Idaho Corp. of Benedictine Sisters.",Books
"Freeman-Toole, T. L. (2001). Standing up to the rock. Lincoln: University of Nebraska Press.",Books
"Fuller, J. A. (1992). I don't know how come I'm so lazy now: Stories of survival by Idaho women.",Books
"Furey-Werhan, C. (1996). Haven in the wilderness: The story of Frances Zaunmiller Wisner of Campbell's Ferry, Idaho. Parks, Ariz: C. Furey-Werhan.",Books
"Garrison, R., Roberts, L., &amp; Soroptimist International of Boise. (2000). Elder tales: Spirited women over sixty tell their stories. Boise, Idaho: Historic Idaho.",Books
"Grace, S. M. (2008). Keeper of the gate. Fairfax, VA: George Mason University.",Books
"Hempel, L. (2009). Proud to be nurses in full uniform. Bloomington, IN: Xlibris Corp.",Books
"Herrick, B. (2004). The Blackberry Tea Club: Women in their glory years. Boston: Conari Press.",Books
"Hogsett, V. M. (1955). The golden years: A history of the Idaho Federation of Women's Clubs, 1905-1955. Caldwell, Idaho: Caxton Printers.",Books
"Hsu, I-Hsien. Chinese Women in Idaho During the Anti-Chinese Movement before 1900. 1994.",Books
